Prefix;Times;Long
2a00:1828;7;9
2a00:18e0;2;9
2a00:1910;1;9
2a00:19e0;1;9
2a00:1a30;2;9
2a00:1a48;2;9
2a00:1a90;1;9
2a00:1d08;1;9
2a00:1d48;1;9
2a00:1d70;21;9
2a00:1ed0;2;9
2a00:1ee0;1;9
2a00:2000;1;9
2a00:4c40;1;9
2a00:4e00;1;9
2a00:5080;1;9
2a00:5720;1;9
2a00:5ba0;1;9
2a00:7580;1;9
2a00:7a60;9;9
2a00:7c80;1;9
2a00:85c0;1;9
2a00:a000;2;9
2a00:b260;1;9
2a00:b580;5;9
2a00:b9c0;1;9
2a00:bdc0;1;9
2a00:c1e0;1;9
2a00:d0c0;17;9
2a00:d1e0;1;9
2a00:d300;1;9
2a00:de40;2;9
2a00:f940;2;9
2a00:fa40;2;9
2a01:0030;1;9
2a01:0048;1;9
2a01:00c0;1;9
2a01:0111;3;9
2a01:0138;3;9
2a01:0198;3;9
2a01:01b0;2;9
2a01:01e8;1;9
2a01:0238;87;9
2a01:0240;1;9
2a01:0260;2;9
2a01:0300;1;9
2a01:0348;2;9
2a01:0360;1;9
2a01:03b0;16;9
2a01:03b8;1;9
2a01:0488;882;9
2a01:04a0;6;9
2a01:04d0;1;9
2a01:04f8;157;9
2a01:0578;2;9
2a01:05c0;1;9
2a01:0618;1;9
2a01:0648;4;9
2a01:0688;1;9
2a01:0728;1;9
2a01:07a0;1;9
2a01:07c8;9;9
2a01:07e0;1;9
2a01:0e0b;1;9
2a01:0e0d;2;9
2a01:0e34;2;9
2a01:0e35;11;9
2a01:4dc0;2;9
2a01:51c0;1;9
2a01:5200;1;9
2a01:5580;1;9
2a01:5740;1;9
2a01:5b40;1;9
2a01:6600;1;9
2a01:7700;1;9
2a01:7e00;15;9
2a01:7e01;2;9
2a01:a580;2;9
2a01:b000;1;9
2a01:c9c0;1;9
2a02:0108;1;9
2a02:0180;3;9
2a02:0248;2;9
2a02:0298;1;9
2a02:02e0;2;9
2a02:0348;2;9
2a02:03e0;1;9
2a02:04a8;1;9
2a02:04e8;1;9
2a02:05a0;2;9
2a02:05d8;1;9
2a02:06d0;1;9
2a02:0788;1;9
2a02:0790;6;9
2a02:0868;1;9
2a02:0908;1;9
2a02:0a00;1;9
2a02:0a60;1;9
2a02:0ad0;1;9
2a02:0af8;1;9
2a02:0b30;1;9
2a02:0c98;1;9
2a02:0cc8;2;9
2a02:0cd0;1;9
2a02:0d08;1;9
2a02:0d40;4;9
2a02:0e00;2;9
2a02:0ed8;1;9
2a02:0f28;1;9
2a02:0f98;2;9
2a02:100e;2;9
2a02:1628;1;9
2a02:1668;1;9
2a02:2028;5;9
2a02:22f0;1;9
2a02:24f8;1;9
2a02:26f0;16;9
2a02:27d0;1;9
2a02:2970;1;9
2a02:29e8;1;9
2a02:2b88;2;9
2a02:74a0;5;9
2a02:810b;1;9
2a02:a81a;1;9
2a02:c200;7;9
2a02:cb40;1;9
2a02:d180;1;9
2a02:e980;2;9
2a03:0e40;1;9
2a03:2500;1;9
2a03:2880;1;9
2a03:2900;26;9
2a03:2a00;16;9
2a03:3680;1;9
2a03:3c00;4;9
2a03:4000;18;9
2a03:4080;1;9
2a03:44a0;1;9
2a03:4900;2;9
2a03:57e0;1;9
2a03:6f00;9;9
2a03:8180;7;9
2a03:9700;1;9
2a03:9800;1;9
2a03:b0c0;3;9
2a03:c980;2;9
2a03:e280;1;9
2a03:e581;1;9
2a04:06c0;1;9
2a04:4880;1;9
2a04:7680;1;9
2a04:cb41;1;9
2a04:d140;1;9
2a05:0f00;1;9
2a05:2880;1;9
2a05:3e00;1;9
2a05:8b81;1;9
2a05:d580;22;9
2a06:1c40;2;9
6c69:652d;1;9
da1e:2353;1;9
fe80:0000;2;9
0000:0000:0;21;11
2000:1a50:0;1;11
2001:0000:0;1;11
2001:0240:b;1;11
2001:02e8:0;4;11
2001:0418:0;2;11
2001:0470:0;25;11
2001:0470:1;13;11
2001:0470:5;1;11
2001:0470:6;1;11
2001:0470:7;4;11
2001:0470:8;4;11
2001:0470:9;1;11
2001:0470:c;1;11
2001:0470:e;2;11
2001:0470:f;1;11
2001:04b0:1;1;11
2001:04f8:0;3;11
2001:04f8:f;1;11
2001:0500:0;1;11
2001:05e8:f;1;11
2001:0608:0;2;11
2001:0630:0;1;11
2001:0638:0;10;11
2001:0660:4;1;11
2001:0660:6;1;11
2001:0660:7;2;11
2001:067c:0;11;11
2001:067c:1;5;11
2001:067c:2;9;11
2001:0680:0;1;11
2001:0690:0;1;11
2001:06b0:0;1;11
2001:06c8:3;1;11
2001:06f8:0;4;11
2001:06f8:1;2;11
2001:0700:0;2;11
2001:0720:1;3;11
2001:0780:0;2;11
2001:07a8:0;2;11
2001:07b8:0;1;11
2001:07c0:0;1;11
2001:0810:0;1;11
2001:0828:0;1;11
2001:0840:0;1;11
2001:0840:4;1;11
2001:0868:0;2;11
2001:0888:0;1;11
2001:08b0:0;1;11
2001:08b0:f;2;11
2001:08d8:0;165;11
2001:08d8:1;2314;11
2001:0910:0;1;11
2001:0978:9;1;11
2001:0981:4;1;11
2001:0a60:9;2;11
2001:0aa8:f;1;11
2001:0ad8:2;2;11
2001:0ba8:0;1;11
2001:0bb0:0;1;11
2001:0bc8:2;1;11
2001:0bc8:3;12;11
2001:0bd0:0;1;11
2001:0bf0:0;3;11
2001:0bf0:c;1;11
2001:0dc0:2;1;11
2001:0e42:0;4;11
2001:1418:0;1;11
2001:1420:0;1;11
2001:1430:0;1;11
2001:14c0:1;1;11
2001:1528:0;2;11
2001:1600:0;1;11
2001:1608:0;4;11
2001:1640:0;13;11
2001:1690:0;1;11
2001:16e0:0;1;11
2001:1868:0;1;11
2001:1868:a;1;11
2001:1890:1;3;11
2001:1900:2;1;11
2001:1900:3;2;11
2001:19d0:0;1;11
2001:19d8:0;1;11
2001:19f0:6;1;11
2001:19f0:7;1;11
2001:1a50:0;34;11
2001:1a80:3;1;11
2001:1ab0:7;2;11
2001:1af8:4;1;11
2001:1b30:0;1;11
2001:1b50:0;3;11
2001:1b60:0;4;11
2001:1b78:0;1;11
2001:1bc8:0;3;11
2001:4018:1;1;11
2001:4068:0;2;11
2001:40b0:7;2;11
2001:40b8:0;4;11
2001:40b8:1;1;11
2001:41c8:0;4;11
2001:41c9:0;1;11
2001:41d0:0;128;11
2001:41d0:f;1;11
2001:44b8:4;1;11
2001:4800:7;3;11
2001:4801:0;1;11
2001:4801:7;14;11
2001:4802:7;1;11
2001:4818:1;1;11
2001:4830:0;2;11
2001:4830:1;2;11
2001:4b10:0;1;11
2001:4b78:1;7;11
2001:4b78:2;1;11
2001:4b88:0;1;11
2001:4b98:0;32;11
2001:4ba0:c;2;11
2001:4ba0:f;8;11
2001:4c08:2;2;11
2001:4c78:0;1;11
2001:4c80:0;1;11
2001:4ca0:0;4;11
2001:4ca0:4;1;11
2001:4cb8:0;1;11
2001:4cc0:8;2;11
2001:4ce0:0;5;11
2001:4cea:0;1;11
2001:4d48:4;1;11
2001:4d48:a;1;11
2001:4d88:1;3;11
2001:4d88:3;1;11
2001:4dc8:9;1;11
2001:4dd0:0;2;11
2001:4dd0:f;6;11
2001:b030:1;1;11
2002:0000:0;2;11
2002:2e04:5;1;11
2002:5119:3;1;11
2002:52a5:a;1;11
2002:55d6:1;1;11
2002:55d6:4;1;11
2002:5fd3:1;1;11
2002:c3d6:e;1;11
2002:d45a:c;1;11
2003:0002:0;2;11
2003:004e:0;1;11
2003:0054:8;1;11
2400:8900:0;5;11
2400:8901:0;2;11
2400:cb00:2;381;11
2401:2500:0;1;11
2403:1400:0;2;11
2403:3a00:0;6;11
2403:d000:0;1;11
2404:6800:8;1;11
2404:9400:0;1;11
2405:4200:8;1;11
2406:da00:f;5;11
2407:e700:0;1;11
2409:0010:a;1;11
2409:8080:0;1;11
2600:0c08:2;1;11
2600:2001:0;1;11
2600:3000:2;1;11
2600:3c00:0;8;11
2600:3c01:0;7;11
2600:3c02:0;6;11
2600:3c02:e;1;11
2600:3c03:0;10;11
2602:ffe2:0;1;11
2604:0180:0;1;11
2604:0a00:0;1;11
2604:3400:0;3;11
2604:4300:0;1;11
2604:5800:0;1;11
2604:7c00:0;6;11
2604:8800:0;1;11
2604:9a00:2;5;11
2604:a880:0;8;11
2605:6280:0;1;11
2605:8000:0;1;11
2605:9600:0;1;11
2605:d400:0;1;11
2605:f700:0;1;11
2607:1a00:0;1;11
2607:1b00:0;5;11
2607:4d00:0;1;11
2607:5300:0;7;11
2607:5600:0;1;11
2607:71c0:0;1;11
2607:f0b0:0;1;11
2607:f0d0:1;6;11
2607:f1c0:0;10;11
2607:f1c0:1;178;11
2607:f208:0;1;11
2607:f220:0;1;11
2607:f258:0;1;11
2607:f298:0;27;11
2607:f2d8:4;1;11
2607:f2f8:a;1;11
2607:f3e0:0;2;11
2607:f5a0:0;1;11
2607:f740:0;2;11
